created_at,text
2018-11-08 17:20:06,[NEW] Measuring the State of Disaster Philanthropy report contains updated data &amp; interactive tools to improve #disasterphilanthropy: https://t.co/FzF7pPT39E @funds4disaster #SODP2018 https://t.co/v6tQfxi0sb
2018-11-08 17:15:10,"Do you know a foundation committed to sharing their challenges, successes, and failures in order to strengthen #philanthropy as a sector? Nominate them for our #OpenForGood Award here: https://t.co/QUaj4bIpOJ https://t.co/8643QeGnBZ"
2018-11-08 17:02:27,"Get insider secrets to acquire, maximize, and maintain cause #marketing partners! Join our upcoming 12/4 webinar with @GoCatalist's @Maureen_Carlson, and be a cause marketing all star! Register before 11/27 for our early-bird special! https://t.co/xSwXHDEjXj #FCLearn @GrantSpace https://t.co/EKFbwcGeTe"
2018-11-08 15:43:26,It’s an exciting day here at @FCNewYork ! #futureofphilanthropy https://t.co/i2QhonRZRc
2018-11-08 13:45:06,[BLOG] How can you get companies to donate to your nonprofit event? Check out tips and strategies from this @FCSanFrancisco blog by @hannahcyang of @theshareway: https://t.co/0CeFho83hH
2018-11-08 12:20:05,"If you are a grantmaker seeking to support your grantees in advancing #equity, you'll want to read the new in-depth case study by @GrantCraft and @WeDreamForward about @kresgefdn's approach: https://t.co/7dkwmSVjdf https://t.co/bMnnPGIcb6"
2018-11-07 20:45:07,We're looking for a talented human resources assistant at our New York office! Know someone great? Tell them to apply! https://t.co/69M1Zm2fNU #jobs #nonprofit #philanthropy
2018-11-07 18:40:05,RT @nonprofitorgs: 61% of donors say they are more inspired to give during the holiday season. Here’s how your #nonprofit can capture that level of support year-round: https://t.co/qWjV5MQE3t https://t.co/MBhujGEI65
2018-11-07 16:01:30,"We’re spotlighting @LatinaSocWrk, Director of @FCAtlanta, as this week’s #wcw! Maria leads FC South's overall programming and operations and works to connect the South’s diverse #socialsector w/ the tools and resources they need to succeed. We're thrilled to have her on our team! https://t.co/PBTYI8w80N"
2018-11-07 13:01:28,Need to ramp up your cause #marketing strategy? Tune in to our 12/4 webinar with @GoCatalist's @Maureen_Carlson for needed insights to build campaigns that will enable lasting success! Early-bird price ends 11/27 -- register now: https://t.co/xSwXHDEjXj #FCLearn @GrantSpace https://t.co/Vt1sVxEGXh
2018-11-07 08:45:05,Let’s improve data available for and about #philanthropy! Get started with this important guide for getting the most out of our eReporting program: https://t.co/sBYNkR9G0V @Glasspockets https://t.co/rFKIhYNLuy
2018-11-06 20:35:08,Learn how @DaliaAssoc spends time building trust with their communities and uses #participatorygrantmaking to ensure their community feels heard and empowered https://t.co/HZ9e0LikLO @GrantCraft #ShiftThePower
