created_at,text,year
2018-08-29 19:28:44,"Who supports keeping the #JohnsonAmendment in place?

✅ 4,500+ religious leaders
✅ 100+ religious denominations
✅ 89% of Evangelical pastors
✅ 5,800+ #nonprofit organizations
✅ Law enforcement, and
✅ 72 percent of American voters

Find out more at https://t.co/jEsb5XptFU https://t.co/oB4kBE2mgw",2018
2018-08-29 19:26:22,"#6 - So, if the #nonprofits and religious institutions that have to follow the #JohnsonAmendment don't want it repealed, why do it? 

Money. 

Repeal would allow money spent supporting candidates to become tax-deductible for the first time. https://t.co/OhsaDpT3fW",2018
2018-08-29 19:25:35,"#5 - The #JohnsonAmendment wasn't even a partisan issue until recently. While proposed by and named for LBJ, it was passed by a majority Republican Senate, signed into law by Eisenhower and further strengthened by Pres. Reagan. Both parties have respected this law for 6 decades https://t.co/dAuS18EtzY",2018
2018-08-29 19:17:48,"#4 - Nonpartisanship is what keeps #nonprofits and religious institutions as the trusted institutions that we need them to be. The #JohnsonAmendment is vital for the work that we do in communities, bringing people together and leaving party labels at the door. https://t.co/exL82Bzl1K",2018
2018-08-29 19:16:07,"#3 - It is not a religious issue. More than 4,500 religious leaders signed a letter in favor of keeping the #JohnsonAmendment and more than 100 denominations have called for it to remain. Not a single denomination has asked for repeal. https://t.co/3mlw8O4CCp https://t.co/Gx2G8ZFdrr",2018
2018-08-29 19:11:57,#2 - The #JohnsonAmendment does not inhibit free speech. Public policy issues can be discussed by religious and #nonprofit leaders. They can also help with nonpartisan voter registration efforts. The only thing they can't do is support or oppose candidates for office. https://t.co/VxKlF5F2FG,2018
2018-08-29 19:09:33,"With the #JohnsonAmendment back in the news with some misleading information about it, let's go back and review some of the facts:

#1 The Johnson Amendment is still in effect - and is valued by the #nonprofits and religious institutions that it protects https://t.co/vjMPZfV38g",2018
2018-08-28 21:24:48,"It's true that the #JohnsonAmendment is still the law of the land, but it is facing its most dire threat yet in the form of a rider attached to a must-pass appropriations bill. Find out more about where things stand and what #nonprofits can do https://t.co/Ew6rYBv0dD https://t.co/uZRXBaVO6r",2018
2018-08-27 16:30:34,"Special Edition of #Nonprofit Advocacy Matters covers the most serious threat yet to the #JohnsonAmendment, plus coverage of what last week's announcements on #SALTworkarounds and siloing of Unrelated Business Income mean for #nonprofits https://t.co/Ew6rYBv0dD https://t.co/pFciI2MciD",2018
2018-08-23 22:02:42,#Nonprofits Respond to Release of Proposed Rules on SALT Workarounds https://t.co/a86Da8uBma #taxreform https://t.co/zhmM9K6eBZ,2018
2018-08-23 17:10:00,"Calling all #nonprofit finance leaders! Register for the @USTTrust and @Nonstoptweets webinar to discover why many nonprofits are moving away from the traditional models of insurance to lower costs, mitigate risk and to improve health equity for staff: https://t.co/qIUJB1ITvx",2018
2018-08-22 18:08:00,"What's happening in Congress with the Public Service Loan Forgiveness program (PSLF)? 
@NatlCouncilNPs Tiffany Carter and @EJW_org Isaac Bowers discuss: https://t.co/Q0hTr2FbtH. You can find the full series and resources on PSLF at https://t.co/EVORB0FqvG #nonprofit https://t.co/7kE9eyqJ2a",2018
2018-08-22 17:42:37,#Nonprofits are keeping a close eye on this issue https://t.co/GeJykYRc2t,2018
2018-08-22 15:41:00,New from @exponentphil (based on a collaboration with @NatlCouncilNPs): Great Funder–#Nonprofit Relationships Toolkit https://t.co/o6n4wzhwhu,2018
2018-08-21 18:13:14,Congratulations @donchennyc! You will be leading a wonderful organization. Looking forward to what you and @Surdna_Fndn do next. https://t.co/D7n7kAjdku,2018
2018-08-20 18:51:43,"Why are #nonprofits so important to a full, accurate, and complete count in the #2020Census? @janmasaoka of @CalNonprofits recently shared why in testimony before the legislature https://t.co/qfH9LZk6rr https://t.co/K0qORBz7dh",2018
2018-08-20 16:53:24,"What's the latest on taxing of transportation benefits, #2020census, #SALTworkarounds, payments-in-lieu-of-taxes, and the Wayfair decision's impact on #nonprofits? Find out in today's Nonprofit Advocacy Matters https://t.co/Y70g11Bel7 https://t.co/3aoa4CNP4Y",2018
2018-08-20 14:55:00,New report from @NTENorg for all of you #nptechies out there: 2018 State of the #Nonprofit Cloud https://t.co/fixxPqpo5S #nptech,2018
2018-08-17 15:36:30,Celebrating #NationalNonprofitDay with @MNAonline President &amp; CEO (and incoming @NatlCouncilNPs Board Chair) Donna Murray-Brown on @WLNS https://t.co/pnLCoLcZZd https://t.co/wFsUVyeRCU,2018
2018-08-16 19:22:31,"“Being the Queen is not all about singing, and being a diva is not all about singing. It has much to do with your service to people. And your social contributions to your community and your civic contributions as well.” Wise words from the Queen of Soul Aretha Franklin #RIPAretha https://t.co/LilDe0wb1V",2018
2018-08-16 18:06:18,Foul ball? California #nonprofits are concerned about the #CaLeg letting major league sports teams continue their 50/50 raffles despite lack of transparency and oversight: https://t.co/VtqhgP9r2y @CalNonprofits @janmasaoka,2018
2018-08-16 16:04:00,How your #nonprofit can make an impact via #NationalVoterRegistrationDay. Guest post from Brian Miller of @NpVOTE https://t.co/B8KBsQttUh https://t.co/O1keaIeVbN,2018
2018-08-15 17:03:00,Does My #Nonprofit Really Have to Register Before Asking For Money? What you need to know about #fundraising regulations. Guest post from @VenableLLP https://t.co/gd3FtQKvEF https://t.co/SrP7P2pYES,2018
2018-08-15 15:09:49,Great demonstration of all the ways #nonprofits can be involved in the electoral process in nonpartisan ways. Way to go! https://t.co/6AHa0m9a32,2018
2018-08-14 18:40:00,"These days, the traditional models of health and unemployment insurance are cost-prohibitive for many #nonprofits. Register for this educational #webinar, hosted by @USTTrust and @Nonstoptweets to learn about alternative solutions: https://t.co/qIUJB1ITvx https://t.co/OmXWrgUjzf",2018
2018-08-14 18:34:28,Planning for #NationalVoterRegistrationDay? Don't miss this webinar with @NpVOTE that will get you up to speed for the September 25 holiday that aims to get all eligible Americans registered to vote! Everything starts Thursday at 2pm ET! Sign up: https://t.co/t7y4NYUzai,2018
2018-08-13 21:30:52,From @GTak: How Independent Audits and Audit Committees Protect #Nonprofits https://t.co/DFMUbbnt4W,2018
2018-08-10 15:42:33,Today's featured #nonprofit #job: Executive Director for Helping Hands: Monkey Helpers for the Disabled @MonkeyHelpers Find out more and apply at https://t.co/2uANT7mbZ0 https://t.co/HW6Ym0Bafz,2018
2018-08-09 16:54:06,Starting in one hour. https://t.co/aBwn9Wo1JS,2018
2018-08-09 14:00:20,The Next Big Things in #Fundraising https://t.co/ySE6kUhF8I Guest post from @buildnpcapacity at @GuidestarUSA blog,2018
2018-08-08 16:39:00,What do the new website security warnings in @googlechrome mean for #nonprofits and your fundraising efforts? Find out: https://t.co/ZOjwojrdUV https://t.co/rW8CJE3PJi,2018
2018-08-08 15:04:59,"From @WashTimes The unintended target of #taxreform: Churches (and #nonprofits) now face 21% penalty - Groups to decide among paying more to feds, cutting employees' benefits or making other sacrifices - https://t.co/J3t0IwgWxa @julesrmu",2018
2018-08-07 17:38:00,Are you concerned about unpredictable cost increases and unsustainable demands on HR's time? Sign up for the @USTTrust and @Nonstoptweets webinar to learn how your #nonprofit can explore alternative ways to fund health &amp; unemployment insurance: https://t.co/qIUJB20uU7 https://t.co/lUWD42Fxaz,2018
2018-08-06 17:35:30,Time is running out to be heard on the #citizenship question on #2020Census. Public comment period ends tomorrow: August 7. Learn more about what inclusion of a citizenship question could mean for #nonprofits and how to file comments: https://t.co/z6adu2K5Cd https://t.co/6CDLpazLZK,2018
2018-08-06 16:31:55,Liz Moore of @MTNonprofit demonstrates The Art of the Op-Ed in our latest example of #nonprofit advocacy in action: https://t.co/OG4WHfW3DO https://t.co/0bAMEx4G14,2018
2018-08-06 15:23:00,How can funders better support workforce equity in #nonprofit organizations? @FundThePeople  Investing in Equity in the Nonprofit Workforce Survey is exploring this question. Take a few minutes today to complete the survey. https://t.co/ilJhzKPT6d https://t.co/ZsuAdngqv3,2018
2018-08-02 20:53:29,Whaaat?! #Nonprofits need to pay taxes for providing employee parking! via @GTak https://t.co/8PNdhQ3sWV https://t.co/QlgmRaHpiF,2018
2018-08-02 14:11:00,#Nonprofits Applaud Senate for Passage of Spending Bill Without anti- #JohnsonAmendment Rider https://t.co/dhgYVjewLa,2018
2018-08-02 13:20:28,"That's true, but #JohnsonAmendment repeal efforts continue, with a rider in the House version of an appropriations bill. What we have to say about that: https://t.co/H6QUdtmMMG https://t.co/0THqowT7J5",2018
2018-08-01 15:19:00,Honored to be recognized as part of @NonProfitTimes 2018 Power and Influence Top 50 https://t.co/zd0EBN09UA #NPTpower50 We draw inspiration from and are thrilled to work in partnership with so many of this year's honorees. Congratulations to all! https://t.co/4top2Idyf2,2018
2018-08-01 14:33:25,#Nonprofits can help make sure each and every eligible voter has their voice heard this midterm season! Become a #NationalVoterRegistrationDay partner at https://t.co/l5Lb1Aozl1  @NatlVoterRegDay @NpVOTE https://t.co/qZIy3UGYzB,2018
2018-07-30 15:01:41,Congress could declaw restrictions on politicking from the pulpit — over the objections of many churches https://t.co/7dNs27X3h2 via @ConversationUS #JohnsonAmendment #nonprofits,2018
2018-07-27 18:43:00,".@MTNonprofit Executive Director (and @NatlCouncilNPs Board Member) Liz Moore: ""Don’t Hijack #Nonprofits for Partisan Gain"" https://t.co/VJUKHH00Nb #JohnsonAmendment https://t.co/25sTTO20Xs",2018
2018-07-27 17:32:43,Thinking about starting a #nonprofit? Check out this new video from @PropelNP that explains what fiscal sponsorship is - and why it may be a better approach than starting a new organization https://t.co/RA0ByOwRuy . Additional resources at https://t.co/4ekqmo8T5a https://t.co/Knb2rS1sol,2018
2018-07-26 19:32:44,"Back in January, in an article in @Philanthropy, we peered into our crystal ball to predict how the new tax law would affect #nonprofits and foundations. So, at the mid-point of 2018, did those predictions come true? https://t.co/bojTzgQFpr https://t.co/B23f5QY9hF",2018
2018-07-26 15:35:41,"All of these, combined with the ongoing attacks on the longstanding protections of the #JohnsonAmendment, are a troubling trend https://t.co/H6QUdtmMMG #nonprofit https://t.co/juSP7nADCZ",2018
2018-07-25 19:24:18,"Go-getter, Innovator, Risk-taker, Leader - @girlscouts G.I.R.L. agenda shows us all that advocacy has no age limit https://t.co/7XrpE8G3M5 https://t.co/59vEtLiFTb",2018
2018-07-24 20:28:06,Tune in live now! https://t.co/hIjrhIW9ZM,2018
2018-07-24 16:09:28,Could This Political Environment Get More Toxic for #Nonprofits? The Answer Is Yes—Unless You Act Today https://t.co/ft0hJLb6xR via @npquarterly,2018
2018-07-23 18:12:00,What are the Next Big Things in fundraising? We're tracking a few trends: https://t.co/JTiX8F8Jk1 https://t.co/Sard89cmO0,2018
2018-07-23 16:30:10,"New developments on #JohnsonAmendment, new UBI taxes on transportation benefits, #2020Census, state and local taxes, #NationalVoterRegistrationDay, and a profile of @girlscouts showing that advocacy has no age limit https://t.co/aOLgZRzYvV https://t.co/2vIABYUgrw",2018
2018-07-23 16:25:51,"Federal Tax Law, #Nonprofits, and the Action in the States, so far - a look at developments related to the new tax law through the first few months of 2018 https://t.co/ggjzIljbsr https://t.co/sBRmHGR7SI",2018
2018-07-23 16:10:00,Is your #nonprofit looking for the right person to help advance its mission? Post your openings on the Nonprofit Career Center https://t.co/YFekaBhjv0 https://t.co/dZT2NOl38m,2018
2018-07-23 14:47:31,Has your #nonprofit contributed significantly to the improvement of cultural life and/or significantly aided the growth and availability of the arts in the United States? Apply for the Chapman Prize from @COF_. Applications due July 25! https://t.co/HyyFDYeaPF https://t.co/8Z1hYZJPfi,2018
2018-07-20 17:03:00,"Big changes coming to #nonprofit accounting standards and how to classify expenses, especially if you have government contracts. Beth Bowsky breaks down the latest changes from FASB. https://t.co/Art0pQQx6y https://t.co/4nRp1SyaCc",2018
2018-07-19 17:00:32,House votes to prevent IRS from punishing churches engaging in politics https://t.co/ExsOP1ybsa via @Brian_Faler and @AaronELorenzo #nonprofit #JohnsonAmendment,2018
2018-07-19 15:25:55,"As the House passes yet another bill attacking the #JohnsonAmendment, #nonprofits tell politicians: we are neither your pawns nor your piggybanks https://t.co/H6QUdtmMMG https://t.co/kKmW8sJQyJ",2018
